,,,,,
"Рабочее давление воды, МПа, не более","1,5",,,,
"Объемный расход воды, м3/с, не более","0,43",,,,
"Угол поворота ствола в горизонтальной плоскости, град.",360,,,,
"Угол вертикального поворота, град.:",,,,,
вверх,27,,,,
вниз,27,,,,
"Диаметр входного отверстия, мм",250,,,,
"Диаметр сменных насадок, мм","50, 70, 90, 100",,,,
"Габаритные размеры, мм, не более:",,,,,
длина,3200,,,,
ширина,510,,,,
высота,1450,,,,
"Масса гидромонитора с насадкой и комплектом запчастей, кг",195,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
